TotalEmissions,TransportationTotalEmissions,HousingTotalEmissions,FoodTotalEmissions,GoodsTotalEmissions,ServicesTotalEmissions,CensusTract
27161916.9173615,2878509.64900861,7237116.04473739,7634564.8718915,4055446.45672971,5356279.89499428,360610255002019
25109503.8626672,2845569.41358286,6453681.34827477,6843467.17413579,3740007.606995,5226778.31967877,360610222002019
26228320.4063572,3663224.84999502,5416636.7190899,6861437.28213974,4002861.03576401,6284160.51936849,360610010012019
33544321.9762238,6628594.52108841,5663876.90755376,8633535.98635845,5052430.60213902,7565883.95908415,360610007002019
26666950.9643306,4089393.61612436,5665842.16821032,6947606.2209867,3975856.20419045,5988252.75481876,360610103002019
34578790.330253,5926530.72336438,7519909.07093906,8278042.2881449,4987237.79823463,7867070.44957002,360610037002019
34279896.2664902,5881992.37925696,6296835.46328296,9026691.92157119,5267919.23649711,7806457.26588194,360610086012019
38091660.9904008,6540775.02525034,7921778.98108137,8833091.26616126,5532852.71700578,9263163.00090204,360610086032019
28966863.3525402,4341499.72405776,6544846.37774086,7693896.96122209,4300604.35228397,6086015.93723551,360610044002019
22641879.3346417,2317358.54383456,5848194.18626655,6361954.05705376,3421130.51122751,4693242.03625929,360610172002019
25137219.6664718,2965502.39949401,6613813.77616569,7014202.56000969,3688709.43697812,4854991.49382429,360610213032019
24020503.0577063,2567882.43714792,6147736.4056942,6881115.67099908,3637529.63388502,4786238.90998003,360610215002019
25376840.5218109,2811278.9594368,6500045.74583086,6984837.11212518,3812102.13150216,5268576.57291591,360610227002019
25558559.4324659,2765333.05333832,6634165.68827629,7122537.5518966,3848873.4485807,5187649.690374,360610231002019
26398782.3203185,3758608.73133026,4679918.44370286,7419022.90710962,4214634.24997296,6326597.98820281,360610238012019
29505184.3440843,5129407.25033677,5344575.44559556,8533960.08294036,4566107.15745008,5931134.40776154,360610238022019
21785808.2259911,2122681.99418626,5681005.27947714,6396152.06279589,3304616.12762248,4281352.76190929,360610242002019
28749062.479231,3514050.74913009,7024525.88457455,7782271.20585896,4324212.13452225,6104002.5051452,360610257002019
24336513.6293957,3001719.54427523,5379404.8369682,6668431.99534731,3746014.52611604,5540942.72668888,360610259002019
26301315.6354548,3869204.02109812,5320626.79837188,7051932.44608157,4031529.64352487,6028022.72637833,360610066002019
36505849.3539757,9857125.49362953,6788961.23347208,7984023.61253683,4669741.96182502,7205997.05251228,360610068002019
30540320.8591932,5428420.60137287,5840269.17580586,7618556.86504838,4506563.11853266,7146511.09843339,360610082002019
31311362.7034437,5131589.99475731,5925812.38111518,8180124.47974664,4799945.3950491,7273890.45277547,360610084002019
22445936.2132339,2811421.07385952,4283937.6669489,6820794.2609652,3655304.70054284,4874478.51091748,360610016002019
40209815.7730737,7596080.59681349,7048680.88867667,10334336.2397802,6137731.88671098,9092986.16109246,360610021002019
22652802.4406243,2831114.61485174,4820464.88704212,6418748.74876399,3547083.20687801,5035390.98308842,360610028002019
30784722.6358514,5774997.1255313,5526598.26302187,7840159.43511958,4584864.24034281,7058103.57183581,360610013002019
19956709.196948,2431758.43068711,3770898.15369797,6028493.28114617,3247653.98730841,4477905.34410835,360610014022019
20623789.2442388,2342309.50746965,4049584.03891365,6211597.34768221,3350177.80162412,4670120.54854912,360610022012019
22956984.5821084,3049572.93040146,4852579.89922817,6368847.75305403,3534684.97410932,5151299.02531545,360610030012019
29040204.1992505,4866497.32927814,5437789.96240452,7590300.97156407,4414665.55265492,6730950.38334889,360610031002019
23760128.3255546,3096968.26941803,5394656.6608576,6514375.7703462,3602971.755233,5151155.86969977,360610034002019
21540045.5194844,3028984.40531686,5649151.31257732,5696889.96272593,3042907.35084191,4122112.48802236,360610299002019
40094712.0534815,7881924.10425619,7961183.47452637,10126392.9955048,5876869.1857707,8248342.29342339,360610317032019
26849164.0354306,3404421.04930327,5809342.79786993,7325937.89377955,4143889.43249485,6165572.86198298,360610198002019
24650984.3601632,2966509.78554543,5181987.47981906,6996418.19529792,3884176.36077799,5621892.53872281,360610012002019
29723669.2337873,4420910.82995822,5798096.78401286,7631142.09307308,4540204.852125,7333314.67461814,360610014012019
27005247.4609139,3934051.69502573,5260884.75576533,7269932.42889776,4200966.32371266,6339412.25751247,360610015012019
26584929.2811642,3462130.91838041,6069198.61777757,7056964.25561517,4018085.9836233,5978549.50576777,360610043002019
26398721.0434155,3754723.49855145,6047235.73728579,6749356.11292451,3890624.72507296,5956780.96958077,360610049002019
34029791.3323802,5769142.73278116,6765543.74536641,8698906.52936023,5118641.62018393,7677556.70468843,360610033002019
23948878.5948855,3133663.52252004,5129022.27087498,6553774.88941534,3687247.95501298,5445169.95706218,360610036022019
32671401.9810396,5318298.7374209,7112689.22932738,7715382.99229816,4734624.90521205,7790406.11678108,360610048002019
32076185.9497582,5275423.10759509,6585066.82291848,8060426.90389687,4772593.55579949,7382675.55954823,360610118002019
31261752.1064077,4915976.21172444,6772463.77816054,7618502.26868713,4569057.61025607,7385752.23757951,360610159002019
24776266.6151713,2754252.91308013,6441126.42879397,7123925.8724419,3714204.44566834,4742756.95518694,360610245002019
19993715.3002276,1833314.08835792,5104941.5322284,5897566.15060512,3083509.42642345,4074384.10261271,360610020002019
37842989.3237123,6519382.41956001,7760881.83507478,9659761.18884652,5614378.4090258,8288585.4712052,360610039002019
24586245.4229946,3178741.08490569,5131896.78319472,7167711.96535593,3882703.79700063,5225191.7925376,360610041002019
25401750.8050671,2752480.14690744,6651286.89053027,7008221.21314757,3792230.74018402,5197531.81429784,360610226002019
29297455.6899514,3484402.7205125,7143092.38905601,8200446.56440103,4460953.5831604,6008560.43282149,360610265002019
24636829.4671573,3731406.50099473,5399058.48551981,6619755.57162164,3658152.80752251,5228456.10149861,360610038002019
31851003.6582557,5928287.40946489,5971900.29095641,8240738.25274636,4732942.30466551,6977135.40042254,360610058002019
29729790.8357907,4788606.5648257,5544850.20175392,7687929.66925485,4533704.9153363,7174699.48461997,360610088002019
41009312.8735148,7096550.58768896,8726536.6250221,9090675.74047154,5902248.23685112,10193301.6834811,360610120002019
29912204.3727053,5166212.57415534,5687467.7603929,7411791.65220087,4426986.53953079,7219745.84642539,360610155002019
21521177.1723306,2291085.76475822,5255092.38472734,6067563.25919085,3312501.56699614,4594934.19665803,360610166002019
37259521.0917702,6496271.70238629,8392511.70934387,8848791.27798376,5306893.0678509,8215053.33420535,360610167002019
29811232.8895073,4212246.155739,6867490.34257656,7558885.31623045,4423183.93783597,6749427.1371253,360610181002019
23285599.3661742,2645431.11347689,6380255.15976213,6331850.65477779,3388272.48614641,4539789.95201102,360610209012019
21600348.1415827,2482466.59838223,5460353.02784235,6093890.28679263,3232112.92953179,4331525.29903372,360610223022019
26901254.4276785,2555181.08657204,7111218.97906445,8081560.66542948,4084326.03090021,5068967.66571229,360610253002019
28510936.6529804,4771132.9055983,5806329.02937086,7274885.55724282,4223632.62580182,6434956.53496664,360610042002019
34381630.2501762,5997866.17528011,7091687.10929733,8242779.13867596,4992089.59424902,8057208.2326738,360610057002019
31207328.8303617,5736703.18599385,6265283.01448733,7594792.62567544,4476277.77622686,7134272.2279782,360610087002019
27215947.3947162,2940967.82627866,6724646.23001627,7835643.84588514,4172318.07568138,5542371.41685477,360610271002019
26825990.1310687,3931068.01043817,6528036.90540055,7264287.11615185,3898268.67410631,5204329.42497183,360610303002019
30322684.7688967,4167548.76040568,6969952.80550581,7900311.5196696,4524465.89170976,6760405.79160584,360610307002019
18453347.3994277,1811212.16761193,4584520.63511624,5268924.16416393,2839435.37493506,3949255.05760051,360610010022019
20934388.4681229,2528638.25885197,4115891.69054079,6190718.41186644,3372598.62592614,4726541.48093761,360610018002019
27398775.2781706,3229260.44410468,6743175.35505958,7435797.72656116,4104642.08435643,5885899.66808878,360610211002019
28506283.9796829,3350273.60559632,7235421.50634064,7723661.24338886,4260869.30173441,5936058.32262264,360610216002019
21990790.8890204,2023951.64303448,5972980.84390015,6352138.67740641,3298905.33846224,4342814.3862171,360610219002019
24387375.1705907,3054091.11435786,6313118.10088916,6651561.58246289,3567642.10977838,4800962.26310237,360610237002019
24134832.0312457,2273197.49744693,6420787.7402323,7138056.60000286,3662487.10620973,4640303.08735392,360610251002019
26876738.475025,3014174.92428764,7168509.92834673,7393309.48306437,3934085.73321161,5366658.40611464,360610267002019
34135189.9353413,5760933.47632946,6831965.57841418,8223637.5147277,5034385.80438088,8284267.56148911,360610052002019
32439157.8356474,5384700.33806475,6886508.45551816,8261744.92341144,4793998.33886673,7112205.77978637,360610055012019
35042128.4889207,5985370.06104188,7440826.77851253,9220231.37031305,5188241.15388522,7207459.12516804,360610060002019
38299531.3620037,7606241.48510737,7946318.68376405,8676393.56574994,5346452.13912594,8724125.48825645,360610061002019
28289533.8351673,4560024.16858904,5565367.32641195,7528262.20039611,4287308.97171124,6348571.16805891,360610072002019
30736856.194744,5512390.92632974,5620231.27460546,7809779.95446842,4625960.46443089,7168493.5749095,360610074002019
19627515.5435707,1991410.43056446,4050823.8351855,6186409.51325396,3205572.94745023,4193298.81711661,360610002012019
21683228.8823597,2029239.46834069,5749710.64740543,6291877.62528047,3279198.2855178,4333202.85581534,360610277002019
24620871.9403863,3875633.12833749,4596869.45377725,6702603.78715216,3796620.69111346,5649144.88000598,360610111002019
31474919.1574343,5540621.84928426,5865936.13006321,7774839.97391117,4663990.11087654,7629531.09329916,360610114022019
33684581.5394473,4959628.58826662,7889928.37069151,7983513.69565845,4905391.10195747,7946119.78287321,360610140002019
26207028.7228414,3449912.05050361,6028021.61192742,7161192.29462083,3966844.97605329,5601057.78973621,360610151002019
24502081.7650326,3409033.87896641,4868388.10065188,7096757.72276652,3864284.33423125,5263617.72841653,360610156022019
23343480.4865459,2413079.28761231,5689941.31025097,6808952.71072034,3623008.16849391,4808499.00946838,360610168002019
32514038.6911475,4917021.87477294,7449540.96479371,7911317.60144636,4764421.63961972,7471736.61051482,360610173002019
35425488.9067164,5766920.99603122,7946405.82688141,8514916.08669379,5110468.34990238,8086777.64720757,360610175002019
22172316.7702183,2755085.90586807,4651276.77326593,6351821.74772625,3489209.07820993,4924923.26514817,360610030022019
36840861.4748891,6348952.18421907,7940800.81925705,8679990.53235033,5314735.71490182,8556382.22416081,360610063002019
24462130.0500423,2672796.70507237,6501945.22671015,6689918.61225636,3606971.6358417,4990497.87016177,360610178002019
23309416.1356473,2410477.08787308,5793666.78579034,6803330.17491235,3567455.07704475,4734487.01002682,360610188002019
28589005.2754141,3337040.96494164,7288933.96598299,7802067.99388321,4277995.98854548,5882966.36206077,360610220002019
28892674.8347438,3050266.89494112,7573172.6894786,8324445.85961539,4357328.93028297,5587460.46042569,360610223012019
29212626.1239818,3151478.45879071,7314327.98346124,8264380.57223819,4473291.6708817,6009147.43860992,360610233002019
22181470.3988238,2464360.00778461,5277204.70999942,6283336.56292604,3411817.84425374,4744751.27385999,360610234002019
27097295.3434688,3094315.3751134,6903575.8414901,7461887.91045219,4080063.95093132,5557452.26548175,360610247002019
24715627.1869562,3815461.30705623,6106552.9974814,6280109.65514751,3505639.28230007,5007863.94497096,360610249002019
25601863.2733019,3292628.62238462,6312087.61490847,7474321.51405201,3815942.27322823,4706883.24872854,360610261002019
25171182.1670145,3323147.44826626,6311770.65835762,7141662.27054144,3686159.91697482,4708441.87287438,360610263002019
31753623.6027667,4298708.04970628,7170142.23648448,8094017.48205188,4761063.54268827,7429692.29183579,360610275002019
24178053.4435062,2331991.17934358,6193758.79364965,7191355.66996298,3713469.55357609,4747478.24697393,360610285002019
31928062.318459,5054916.24472505,6854866.11327219,7614770.74698337,4656457.37371687,7747051.83976153,360610059002019
27869108.7119086,4353559.37431842,6143646.63677646,7003742.82864456,4070944.81402275,6297215.05814637,360610067002019
33881801.693274,8923847.33021821,5025408.76144468,8052223.71127545,4686382.8733321,7193939.01700358,360610109002019
30730662.6898986,5065038.879027,6538734.91423707,7401415.25289665,4459724.49326658,7265749.15047133,360610075002019
