BORO,ZIP CODE,count,coords,bbl
BRONX,10454,1,-73.920989,40.811169,2022860006
BRONX,10469,1,-73.843972,40.871321,2047610050
BRONX,10468,1,-73.897457,40.862995,2031670001
BROOKLYN,11224,2,-73.988416,40.576037,3070580007
BROOKLYN,11210,1,-73.937734,40.623107,3078100037
MANHATTAN,10025,2,-73.9727,40.792697,1012410020
MANHATTAN,10027,1,-73.954443,40.813433,1019670060
QUEENS,11385,1,-73.897699,40.699211,4035890001
QUEENS,11432,1,-73.798069,40.704556,4097607501
QUEENS,11377,1,-73.902225,40.744729,4012940020
QUEENS,11691,1,-73.752316,40.605347,4155370147
QUEENS,11421,1,-73.862315,40.691522,4089140022
BROOKLYN,11206,1,-73.946127,40.692891,3017710044
QUEENS,11433,2,-73.780746,40.693042,4102080001
BROOKLYN,11210,1,-73.940389,40.626345,3076180028
MANHATTAN,10029,1,-73.944726,40.799697,1016210050
MANHATTAN,10029,1,-73.944726,40.799697,1016210050
MANHATTAN,10027,1,-73.944193,40.806581,1017220019
MANHATTAN,10011,1,-73.995773,40.734109,1005740038
BRONX,10467,1,-73.862772,40.876693,2046580015
QUEENS,11369,1,-73.88116,40.759958,4013850040
MANHATTAN,10035,1,-73.940407,40.802577,1017700072
BROOKLYN,11220,1,-74.014313,40.639058,3008640001
BROOKLYN,11236,1,-73.886758,40.633094,3083290225
BROOKLYN,11216,1,-73.949564,40.676556,3012130005
BROOKLYN,11214,1,-73.996598,40.60238,3063780019
QUEENS,11423,1,-73.767972,40.712058,4108200023
MANHATTAN,10035,1,-73.943801,40.802483,1017460002
MANHATTAN,10035,1,-73.943801,40.802483,1017460002
BROOKLYN,11226,1,-73.955831,40.654492,3050650011
QUEENS,11433,2,-73.791697,40.690354,4121610042
QUEENS,11373,1,-73.873126,40.741453,4018500010
BROOKLYN,11213,1,-73.938269,40.670631,3013820020
QUEENS,11692,1,-73.804624,40.588813,4161110025
QUEENS,11433,2,-73.788122,40.69275,4101900025
BRONX,10456,1,-73.908151,40.830831,2023890011
BROOKLYN,11238,1,-73.961156,40.681696,3020150001
QUEENS,11432,1,-73.781944,40.708491,4098950001
BROOKLYN,11216,1,-73.946632,40.680617,3018500032
BRONX,10475,1,-73.829099,40.87624,2051410500
BROOKLYN,11206,1,-73.942602,40.694898,3017610066
QUEENS,11435,1,-73.797113,40.690001,4119500396
BROOKLYN,11233,1,-73.90932,40.678422,3015420053
BROOKLYN,11208,1,-73.874721,40.683703,3041280044
BROOKLYN,11234,1,-73.937501,40.619554,3078580047
BRONX,10451,1,-73.910556,40.822121,2023600089
BRONX,10474,1,-73.886869,40.817236,2027620072
MANHATTAN,10025,2,-73.965197,40.807085,1018960020
BRONX,10466,1,-73.851237,40.886801,2048630006
BRONX,10457,1,-73.901115,40.842205,2029060089
BRONX,10455,1,-73.918961,40.81505,2023070054
BRONX,10456,1,-73.918767,40.832577,2024620042
BROOKLYN,11221,1,-73.929032,40.688874,3016320065
BROOKLYN,11201,1,-73.991762,40.692816,3002550008
BROOKLYN,11238,1,-73.965569,40.684241,3019780017
BROOKLYN,11212,1,-73.922276,40.660042,3046300043
QUEENS,11377,1,-73.892859,40.738517,4024450001
MANHATTAN,10002,1,-73.990758,40.713479,1002830016
STATEN ISLAND,10312,1,-74.160423,40.539713,5052680066
QUEENS,11433,1,-73.788003,40.691407,4121810030
BROOKLYN,11226,1,-73.961145,40.654561,3050540062
QUEENS,11418,1,-73.843439,40.693079,4092930003
MANHATTAN,10025,1,-73.961787,40.803767,1018650001
BROOKLYN,11224,1,-73.985122,40.57722,3070200039
MANHATTAN,10032,1,-73.939217,40.837927,1021210029
BROOKLYN,11232,1,-74.00477,40.652075,3007050059
QUEENS,11101,1,-73.941831,40.756894,4004720640
MANHATTAN,10022,1,-73.970536,40.760092,1013100010
BROOKLYN,11225,1,-73.9581,40.66506,3013020001
BROOKLYN,11238,1,-73.960218,40.688464,3019480035
BROOKLYN,11236,1,-73.901785,40.642253,3082030033
MANHATTAN,10023,1,-73.981068,40.775649,1011400040
STATEN ISLAND,10303,1,-74.164776,40.636448,5012550045
BROOKLYN,11218,1,-73.972146,40.63838,3053900010
QUEENS,11435,1,-73.799505,40.692814,4119460119
QUEENS,11434,1,-73.770158,40.682771,4125140032
MANHATTAN,10065,1,-73.96966,40.763888,1013750036
BRONX,10467,1,-73.879499,40.869911,2033310080
BRONX,10462,1,-73.865935,40.845742,2040500011
BROOKLYN,11212,1,-73.908318,40.654144,3036420022
BROOKLYN,11203,2,-73.933257,40.654258,3046530040
STATEN ISLAND,10304,1,-74.09201,40.604843,5031680039
BROOKLYN,11226,1,-73.957728,40.649046,3051030008
BROOKLYN,11236,1,-73.918365,40.651702,3047110012
BROOKLYN,11238,1,-73.961192,40.67242,3011770038
BROOKLYN,11226,1,-73.948885,40.646662,3049150063
BROOKLYN,11213,1,-73.941555,40.674495,3012300009
BROOKLYN,11212,1,-73.926142,40.660275,3046100045
MANHATTAN,10025,1,-73.960717,40.805208,1018670014
BROOKLYN,11233,1,-73.922554,40.671419,3013750046
BRONX,10466,1,-73.853548,40.895626,2050450008
MANHATTAN,10027,1,-73.953289,40.816269,1019700042
BRONX,10472,1,-73.866203,40.833397,2038770030
MANHATTAN,10031,1,-73.944577,40.827521,1020640009
MANHATTAN,10011,2,-74.00039,40.738158,1006180040
QUEENS,11102,1,-73.932878,40.77307,4004900101
BROOKLYN,11206,1,-73.945954,40.697553,3017400001
STATEN ISLAND,10303,1,-74.162751,40.632904,5012450001
BRONX,10451,1,-73.920295,40.821713,2024130001
BRONX,10455,1,-73.909813,40.81521,2026230135
STATEN ISLAND,10304,1,-74.080643,40.622275,5005450100
MANHATTAN,10034,1,-73.924123,40.861169,1022160001
MANHATTAN,10032,1,-73.941933,40.830826,1020680071
QUEENS,11101,1,-73.944514,40.755604,4004700100
BRONX,10467,1,-73.867434,40.876662,2046280047
MANHATTAN,10022,3,-73.973002,40.757214,1013050001
BRONX,10459,2,-73.899304,40.824552,2026910010
QUEENS,11385,1,-73.895277,40.70094,4035380051
STATEN ISLAND,10302,2,-74.134343,40.640055,5010740053
MANHATTAN,10025,1,-73.965885,40.806947,1018950067
MANHATTAN,10032,1,-73.941863,40.834276,1021170031
BROOKLYN,11233,1,-73.919681,40.669003,3014760009
BROOKLYN,11206,2,-73.931918,40.701207,3031530031
MANHATTAN,10024,1,-73.976168,40.790108,1012360005
MANHATTAN,10031,1,-73.946077,40.823925,1020500037
BRONX,10475,1,-73.830958,40.880315,2051410298
BROOKLYN,11230,1,-73.966217,40.631332,3066860079
BROOKLYN,11221,1,-73.935352,40.686234,3016450001
BROOKLYN,11207,2,-73.896943,40.67449,3036860034
QUEENS,11368,2,-73.865001,40.753795,4017430020
QUEENS,11377,1,-73.90192,40.756475,4011360048
BRONX,10468,2,-73.899154,40.861696,2031730036
QUEENS,11416,1,-73.853924,40.681789,4090840027
BROOKLYN,11213,1,-73.934987,40.664761,3014180049
BROOKLYN,11217,1,-73.977239,40.682115,3009300032
BRONX,10453,1,-73.908464,40.853539,2028630028
QUEENS,11420,1,-73.804094,40.674376,4117580046
BRONX,10451,1,-73.9211,40.825809,2024430094
BROOKLYN,11201,1,-73.988424,40.692721,3001407503
MANHATTAN,10027,1,-73.946077,40.809939,1019120012
QUEENS,11432,1,-73.797028,40.70427,4101020010
STATEN ISLAND,10301,1,-74.075544,40.633761,5005030032
MANHATTAN,10002,1,-73.979446,40.71759,1003230073
QUEENS,11429,1,-73.74297,40.714875,4110830117
QUEENS,11101,1,-73.937888,40.744263,4002730001
BROOKLYN,11207,1,-73.886331,40.666151,3040760001
BRONX,10469,1,-73.847048,40.871296,2047590048
BROOKLYN,11212,2,-73.921341,40.667478,3035100033
BROOKLYN,11216,1,-73.952491,40.675957,3012190104
BROOKLYN,11226,1,-73.953234,40.650841,3050900061
QUEENS,11368,1,-73.86137,40.757268,4017220012
QUEENS,11418,1,-73.836162,40.69564,4093010024
BRONX,10472,1,-73.8796,40.831616,2038630010
MANHATTAN,10027,1,-73.950014,40.805294,1019040057
BROOKLYN,11226,1,-73.957907,40.64238,3051640034
QUEENS,11375,1,-73.847085,40.728711,4021760001
QUEENS,11101,1,-73.936973,40.754192,4003960010
QUEENS,11373,1,-73.874859,40.741073,4018340031
BRONX,10468,1,-73.900363,40.861321,2031840059
BROOKLYN,11221,2,-73.92281,40.689178,3014800019
MANHATTAN,10031,1,-73.943859,40.829989,1020670063
BROOKLYN,11216,1,-73.954581,40.672947,3012380044
BROOKLYN,11207,1,-73.909047,40.683993,3034440022
MANHATTAN,10039,1,-73.937799,40.825859,1020360047
STATEN ISLAND,10304,2,-74.081149,40.630245,5005170030
BRONX,10473,1,-73.848291,40.821674,2036130032
BROOKLYN,11226,1,-73.958052,40.643106,3051640022
QUEENS,11369,1,-73.868911,40.76148,4016880002
QUEENS,11691,1,-73.753962,40.606943,4155270015
QUEENS,11412,2,-73.762923,40.690205,4124480025
QUEENS,11432,2,-73.796654,40.705783,4097930086
QUEENS,11413,1,-73.754913,40.676216,4130300030
QUEENS,11691,1,-73.747337,40.609651,4155060001
QUEENS,11432,1,-73.800196,40.709781,4097720046
BROOKLYN,11226,1,-73.959078,40.648065,3051020073
MANHATTAN,10026,2,-73.95498,40.803958,1018310060
BROOKLYN,11231,1,-74.013613,40.678266,3005650001
QUEENS,11375,1,-73.85009,40.736296,4021590002
MANHATTAN,10035,2,-73.934345,40.797018,1017110048
MANHATTAN,10018,2,-73.992213,40.755252,1007620025
QUEENS,11412,1,-73.762385,40.706478,4108880049
BRONX,10460,1,-73.889476,40.84308,2029550001
BROOKLYN,11225,1,-73.950035,40.664236,3013090138
QUEENS,11413,1,-73.7519,40.66089,4134850015
BRONX,10455,2,-73.904441,40.81745,2026650056
BROOKLYN,11233,1,-73.91703,40.674909,3014460036
BROOKLYN,11203,1,-73.933919,40.65389,3048670025
BROOKLYN,11233,1,-73.92235,40.674179,3013570051
BROOKLYN,11208,1,-73.88448,40.673896,3040000128
MANHATTAN,10034,1,-73.921019,40.869047,1022420019
QUEENS,11412,1,-73.766943,40.703563,4103790056
BRONX,10460,1,-73.883647,40.840584,2029920065
BRONX,10460,1,-73.883647,40.840584,2029920065
MANHATTAN,10016,1,-73.981468,40.745206,1008870087
BRONX,10452,1,-73.916549,40.836463,2024660026
BROOKLYN,11222,1,-73.954973,40.729186,3025660032
MANHATTAN,10018,1,-73.984114,40.752901,1008410075
BROOKLYN,11217,1,-73.974376,40.684903,3020030037
MANHATTAN,10027,1,-73.947406,40.808112,1019090012
MANHATTAN,10027,1,-73.947127,40.809908,1019110061
MANHATTAN,10035,2,-73.941574,40.806424,1017500005
BROOKLYN,11214,1,-73.990846,40.59978,3068620038
BROOKLYN,11229,1,-73.955217,40.598713,3073490001
BRONX,10468,1,-73.892187,40.871477,2033190037
BROOKLYN,11216,2,-73.94749,40.676509,3012130037
BROOKLYN,11220,1,-74.014097,40.634934,3058020057
QUEENS,11429,1,-73.746259,40.708809,4111130023
QUEENS,11423,1,-73.767868,40.712661,4108200040
QUEENS,11423,1,-73.762709,40.708064,4108620049
MANHATTAN,10001,1,-73.998787,40.749203,1007510076
BROOKLYN,11226,1,-73.953523,40.65036,3051040053
MANHATTAN,10036,1,-73.99099,40.758035,1010330017
QUEENS,11436,1,-73.791991,40.66883,4121090001
BROOKLYN,11226,1,-73.96267,40.64409,3051480062
MANHATTAN,10025,1,-73.970989,40.794567,1018680124
BROOKLYN,11204,1,-73.980522,40.631406,3054350011
BRONX,10456,2,-73.902008,40.836632,2029270013
QUEENS,11413,1,-73.742313,40.698652,4112980008
BROOKLYN,11212,1,-73.918381,40.657237,3046700015
BROOKLYN,11212,1,-73.918711,40.656974,3046690068
BROOKLYN,11238,1,-73.964254,40.678868,3011390023
BROOKLYN,11225,1,-73.943014,40.661034,3047980039
QUEENS,11106,1,-73.940405,40.759884,4003520001
QUEENS,11355,1,-73.821625,40.754353,4051927504
BROOKLYN,11235,1,-73.963561,40.581388,3072620005
QUEENS,11101,1,-73.927217,40.745652,4002200023
BRONX,10456,1,-73.90934,40.831466,2023940030
MANHATTAN,10033,1,-73.93535,40.848465,1021620048
BROOKLYN,11236,1,-73.917946,40.65376,3047130036
MANHATTAN,10030,2,-73.942839,40.81712,1020230033
BROOKLYN,11208,2,-73.878158,40.675607,3040080013
QUEENS,11691,1,-73.761427,40.595588,4158040014
BRONX,10466,1,-73.830695,40.887658,2049500041
QUEENS,11432,1,-73.800898,40.707321,4097640075
QUEENS,11432,1,-73.799132,40.70787,4097680044
MANHATTAN,10021,1,-73.964457,40.772658,1013880021
MANHATTAN,10029,1,-73.946507,40.790831,1016320026
QUEENS,11435,1,-73.787518,40.703437,4102240019
STATEN ISLAND,10314,1,-74.126481,40.594832,5009550100
BROOKLYN,11239,1,-73.885804,40.651464,3044340060
BRONX,10462,1,-73.865992,40.855338,2043190045
QUEENS,11691,1,-73.751553,40.605256,4155450023
MANHATTAN,10033,1,-73.934527,40.854105,1021800150
QUEENS,11373,1,-73.870998,40.73113,4030880001
QUEENS,11367,1,-73.811548,40.721038,4067110084
BROOKLYN,11233,1,-73.928904,40.681062,3016860040
BROOKLYN,11234,1,-73.917699,40.620301,3078840071
BROOKLYN,11229,1,-73.941226,40.598856,3073630036
BROOKLYN,11235,1,-73.934968,40.578152,3087600060
QUEENS,11354,2,-73.831236,40.760321,4049750001
